Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR,Class
"((LOS >= 1.545) U[1,2] (s2_hr <= 0.002))
",0.000,-9999999.000,-9999999.000,0.000,1.000,26,14,0,4,30,14,26,18,0.8666666666666667,1.0,0.0,1.0,0.9090909090909091,0.09090909090909094,-1
"((n_evts >= 0.111) U[1,2] (s2_edrk >= -0.001))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,10,0,4,34,10,30,14,0.8823529411764706,1.0,0.0,1.0,0.9090909090909091,0.09090909090909094,-1
"((s24_edrk <= 0.003) U[0,1] (y >= 0.166))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,9,5,0,30,14,35,9,1.0,0.6428571428571429,0.35714285714285715,0.8571428571428571,0.8863636363636364,0.11363636363636365,-1
"((MET <= 0.671) U[0,1] (y >= 0.079))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,9,5,0,30,14,35,9,1.0,0.6428571428571429,0.35714285714285715,0.8571428571428571,0.8863636363636364,0.11363636363636365,-1
"F[1,1](AF <= 0.190 -> Mort >= 0.018)
",0.981,-0.190,-0.613,0.000,1.000,30,9,5,0,30,14,35,9,1.0,0.6428571428571429,0.35714285714285715,0.8571428571428571,0.8863636363636364,0.11363636363636365,-1
"F[0,0](n_edrk >= 0.443 -> tte <= -0.248)
",0.172,-0.449,-0.707,0.000,1.000,27,12,2,3,30,14,29,15,0.9,0.8571428571428571,0.14285714285714285,0.9310344827586207,0.8863636363636364,0.11363636363636365,-1
"G[0,1](ICU_Pt_Days >= 0.035 -> lds <= 1.516)
",0.000,9999999.000,9999999.000,1.000,0.000,30,9,5,0,30,14,35,9,1.0,0.6428571428571429,0.35714285714285715,0.8571428571428571,0.8863636363636364,0.11363636363636365,1
"G[0,1](LOS <= 11.802 & O2_Flow <= 3.259)
",0.000,9999999.000,9999999.000,1.000,0.000,30,8,6,0,30,14,36,8,1.0,0.5714285714285714,0.42857142857142855,0.8333333333333334,0.8636363636363636,0.13636363636363635,1
"G[0,0](s24_edrk <= 0.002 & Temp <= 37.019)
",0.646,0.002,-0.058,1.000,0.000,30,7,7,0,30,14,37,7,1.0,0.5,0.5,0.8108108108108109,0.8409090909090909,0.15909090909090906,1
"F[0,1](Mort <= 0.508 & y >= 0.159)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,7,7,0,30,14,37,7,1.0,0.5,0.5,0.8108108108108109,0.8409090909090909,0.15909090909090906,-1
"((direct >= 0.088) U[1,2] (srr <= 0.109))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,7,4,3,33,11,34,10,0.9090909090909091,0.6363636363636364,0.36363636363636365,0.8823529411764706,0.8409090909090909,0.15909090909090906,-1
"((edrk <= 25.884) U[1,1] (s24_hr >= -5.346299509935101e-05))
",-0.019,7.881,7.998,0.000,1.000,28,9,5,2,30,14,33,11,0.9333333333333333,0.6428571428571429,0.35714285714285715,0.8484848484848485,0.8409090909090909,0.15909090909090906,-1
"F[1,1](AF <= 0.099 -> n_edrk <= 0.861)
",0.723,-0.118,-0.413,0.000,1.000,25,12,2,5,30,14,27,17,0.8333333333333334,0.8571428571428571,0.14285714285714285,0.9259259259259259,0.8409090909090909,0.15909090909090906,-1
"F[0,1](MET <= 0.703 & n_edrk <= 0.974)
",0.000,-9999999.000,-9999999.000,0.000,1.000,25,12,2,5,30,14,27,17,0.8333333333333334,0.8571428571428571,0.14285714285714285,0.9259259259259259,0.8409090909090909,0.15909090909090906,-1
"G[1,1](s24_edrk <= 0.002 & s8_edrk >= -0.001)
",0.600,0.001,-0.001,1.000,0.000,30,7,7,0,30,14,37,7,1.0,0.5,0.5,0.8108108108108109,0.8409090909090909,0.15909090909090906,1
"F[0,1](O2_Flow >= 2.227 & tte >= -3.195)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,7,7,0,30,14,37,7,1.0,0.5,0.5,0.8108108108108109,0.8409090909090909,0.15909090909090906,-1
"G[0,1](s8_edrk <= 0.002 & tte >= -1.055)
",0.000,9999999.000,9999999.000,1.000,0.000,30,7,7,0,30,14,37,7,1.0,0.5,0.5,0.8108108108108109,0.8409090909090909,0.15909090909090906,1
"G[1,1](dfa <= 0.846 & direct <= 0.646)
",0.539,0.172,-0.054,1.000,0.000,26,10,4,4,30,14,30,14,0.8666666666666667,0.7142857142857143,0.2857142857142857,0.8666666666666667,0.8181818181818182,0.18181818181818177,1
"F[0,1](cosen <= -1.760 -> n_evts >= 0.228)
",0.000,-9999999.000,-9999999.000,0.000,1.000,22,14,0,8,30,14,22,22,0.7333333333333333,1.0,0.0,1.0,0.8181818181818182,0.18181818181818177,-1
"G[0,1](s2_edrk >= -0.007 -> s8_edrk <= 0.002)
",0.000,9999999.000,9999999.000,1.000,0.000,30,5,9,0,30,14,39,5,1.0,0.35714285714285715,0.6428571428571429,0.7692307692307693,0.7954545454545454,0.20454545454545459,1
"G[1,1](Pulse >= 73.449 -> Temp <= 37.070)
",-0.229,-19.751,-15.117,1.000,0.000,30,5,9,0,30,14,39,5,1.0,0.35714285714285715,0.6428571428571429,0.7692307692307693,0.7954545454545454,0.20454545454545459,1
"F[0,0](dfa >= 0.534 -> tte <= -0.019)
",0.572,-0.137,-0.924,0.000,1.000,24,11,3,6,30,14,27,17,0.8,0.7857142857142857,0.21428571428571427,0.8888888888888888,0.7954545454545454,0.20454545454545459,-1
"F[0,0](lds <= 1.973 & O2_Flow >= 2.159)
",-0.823,-0.159,0.158,0.000,1.000,30,5,9,0,30,14,39,5,1.0,0.35714285714285715,0.6428571428571429,0.7692307692307693,0.7954545454545454,0.20454545454545459,-1
"((Mort >= 0.134) U[1,2] (s24_hr <= 0.003))
",0.000,-9999999.000,-9999999.000,0.000,1.000,28,7,7,2,30,14,35,9,0.9333333333333333,0.5,0.5,0.8,0.7954545454545454,0.20454545454545459,-1
"F[0,1](cosen <= -1.188 -> MET >= 0.002)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,4,10,0,30,14,40,4,1.0,0.2857142857142857,0.7142857142857143,0.75,0.7727272727272727,0.2272727272727273,-1
"G[1,1](Glasgow_Coma_Scale_Total <= 14.932 -> Resp >= 16.583)
",0.795,-0.526,-1.278,1.000,0.000,30,4,10,0,30,14,40,4,1.0,0.2857142857142857,0.7142857142857143,0.75,0.7727272727272727,0.2272727272727273,1
"G[0,0](cosen <= -1.225 & s24_hr >= -0.001)
",0.619,0.001,-0.051,1.000,0.000,30,4,10,0,30,14,40,4,1.0,0.2857142857142857,0.7142857142857143,0.75,0.7727272727272727,0.2272727272727273,1
"G[0,0](Glasgow_Coma_Scale_Total >= 14.560 -> n_edrk >= 0.308)
",-0.805,-0.655,-0.413,1.000,0.000,28,6,8,2,30,14,36,8,0.9333333333333333,0.42857142857142855,0.5714285714285714,0.7777777777777778,0.7727272727272727,0.2272727272727273,1
"F[0,1](Glasgow_Coma_Scale_Total <= 14.937 & s2_edrk >= -0.003)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,4,10,0,30,14,40,4,1.0,0.2857142857142857,0.7142857142857143,0.75,0.7727272727272727,0.2272727272727273,-1
"F[0,1](SpO2 <= 96.024 & y >= 0.159)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,4,10,0,30,14,40,4,1.0,0.2857142857142857,0.7142857142857143,0.75,0.7727272727272727,0.2272727272727273,-1
"F[0,0](O2_Flow >= 2.140 & Temp >= 36.462)
",-0.106,-0.203,-0.143,0.000,1.000,30,3,11,0,30,14,41,3,1.0,0.21428571428571427,0.7857142857142857,0.7317073170731707,0.75,0.25,-1
"((O2_Flow >= 2.015) U[1,1] (Resp >= 13.053))
",-0.213,3.747,4.249,0.000,1.000,30,3,11,0,30,14,41,3,1.0,0.21428571428571427,0.7857142857142857,0.7317073170731707,0.75,0.25,-1
"G[0,1](lds <= 1.686 | s24_edrk <= 0.001)
",0.000,9999999.000,9999999.000,1.000,0.000,30,3,11,0,30,14,41,3,1.0,0.21428571428571427,0.7857142857142857,0.7317073170731707,0.75,0.25,1
"G[0,1](Mort <= 0.436 -> s24_edrk <= 0.001)
",0.000,9999999.000,9999999.000,1.000,0.000,30,3,11,0,30,14,41,3,1.0,0.21428571428571427,0.7857142857142857,0.7317073170731707,0.75,0.25,1
"G[0,1](n_evts <= 0.821 | SpO2 >= 90.864)
",0.000,9999999.000,9999999.000,1.000,0.000,30,3,11,0,30,14,41,3,1.0,0.21428571428571427,0.7857142857142857,0.7317073170731707,0.75,0.25,1
"((O2_Flow >= 2.045) U[1,2] (y <= 0.478))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,3,2,9,39,5,32,12,0.7692307692307693,0.6,0.4,0.9375,0.75,0.25,-1
"G[0,0](Resp >= 15.263 | s2_hr >= -0.000)
",-0.418,1.537,2.346,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"G[1,1](direct >= 0.075 | Temp >= 35.875)
",-0.155,0.743,0.830,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"G[0,1](Resp >= 14.649 -> srr <= 0.135)
",0.000,9999999.000,9999999.000,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"G[0,0](Pulse >= 81.556 | srr <= 0.126)
",0.332,10.910,5.344,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"G[1,1](AF <= 0.160 -> Pulse <= 100.962)
",0.473,-7.762,-15.662,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"F[0,1](n_edrk <= 0.826 & Pulse >= 79.197)
",0.000,-9999999.000,-9999999.000,0.000,1.000,25,7,7,5,30,14,32,12,0.8333333333333334,0.5,0.5,0.78125,0.7272727272727273,0.2727272727272727,-1
"((death >= 0.040) U[1,2] (s8_hr <= 0.003))
",0.000,-9999999.000,-9999999.000,0.000,1.000,28,4,10,2,30,14,38,6,0.9333333333333333,0.2857142857142857,0.7142857142857143,0.7368421052631579,0.7272727272727273,0.2727272727272727,-1
"F[0,0](direct >= 0.099 & SpO2 <= 97.355)
",0.209,-0.305,-0.684,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"((Glasgow_Coma_Scale_Total <= 14.998) U[1,1] (Pulse >= 86.138))
",0.032,7.480,6.959,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"((Glasgow_Coma_Scale_Total >= 14.664) U[0,1] (MET >= 0.035))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"F[0,0](AF >= 0.023 & SBP <= 152.331)
",-0.600,-7.395,0.049,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"((af >= 0.006) U[1,1] (SBP >= 62.592))
",0.866,92.275,49.206,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"G[0,1](direct <= 0.443 -> s8_edrk >= -0.003)
",0.000,9999999.000,9999999.000,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"((MET >= 0.032) U[1,1] (s8_edrk <= 0.000))
",-0.407,0.000,0.138,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"((dfa >= 0.519) U[1,1] (Glasgow_Coma_Scale_Total <= 14.970))
",-0.559,0.154,0.421,0.000,1.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,-1
"G[1,1](PARTIAL_THROMBOPLASTIN_TIME <= 31.800 & SpO2 >= 85.753)
",0.408,0.000,-0.108,1.000,0.000,30,2,12,0,30,14,42,2,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7272727272727273,0.2727272727272727,1
"G[0,0](edrk >= 14.650 | SpO2 >= 94.440)
",-0.292,3.769,6.121,1.000,0.000,30,1,13,0,30,14,43,1,1.0,0.07142857142857142,0.9285714285714286,0.6976744186046512,0.7045454545454546,0.2954545454545454,1
"G[1,1](death <= 0.973 -> edrk >= 12.153)
",0.035,-5.850,-6.089,1.000,0.000,30,1,13,0,30,14,43,1,1.0,0.07142857142857142,0.9285714285714286,0.6976744186046512,0.7045454545454546,0.2954545454545454,1
"((dfa >= 0.410) U[1,1] (MET >= 0.009))
",-0.315,0.264,0.387,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((s24_hr >= -0.000) U[1,1] (s8_edrk <= 0.002))
",-0.160,0.002,0.003,0.000,1.000,28,2,12,2,30,14,40,4,0.9333333333333333,0.14285714285714285,0.8571428571428571,0.7,0.6818181818181818,0.31818181818181823,-1
"((hr >= 83.575) U[1,1] (s8_hr >= -0.000))
",-0.055,8.530,9.741,0.000,1.000,24,6,8,6,30,14,32,12,0.8,0.42857142857142855,0.5714285714285714,0.75,0.6818181818181818,0.31818181818181823,-1
"((LACTIC_ACID >= 1.300) U[0,1] (y = 0.993))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((PROTIME_INR >= 1.200) U[1,1] (y = 0.635))
",0.000,-0.000,-0.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((TOTAL_PROTEIN >= 6.300) U[0,0] (y = 0.888))
",0.000,0.000,0.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((WHITE_BLOOD_CELL_COUNT <= 8.400) U[0,0] (y = 0.082))
",0.000,-0.000,-0.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((MET >= 0.015) U[1,1] (death = 0.091))
",-0.408,-0.015,0.128,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"G[0,0](s2_edrk <= 0.002 & srr >= 0.017)
",-0.019,0.001,0.001,1.000,0.000,27,3,11,3,30,14,38,6,0.9,0.21428571428571427,0.7857142857142857,0.7105263157894737,0.6818181818181818,0.31818181818181823,1
"G[0,0](edrk <= 18.033 | lds <= 2.079)
",-0.410,0.872,1.822,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](af >= 0.007 -> n_edrk >= 0.544)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](af >= 0.002 -> MET <= 0.639)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](SBP <= 181.869 | SpO2 >= 89.086)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](s8_edrk >= -0.002 | SBP <= 172.085)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[1,1](af >= 0.005 -> s8_edrk <= 0.000)
",0.207,-0.000,-0.001,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,0](Glasgow_Coma_Scale_Total <= 14.999 -> PROTIME_INR >= 1.200)
",0.408,0.000,-0.143,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[1,1](edrk >= 12.034 -> PARTIAL_THROMBOPLASTIN_TIME >= 31.800)
",0.020,-5.969,-6.104,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](edrk >= 16.125 -> LACTIC_ACID >= 1.300)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,0](s8_hr <= 0.005 | tte >= -2.520)
",0.708,2.520,1.924,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](AF >= 0.017 -> ICU_Pt_Days >= 0.916)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,0](Pulse >= 79.310 | s24_hr <= 0.004)
",0.394,13.156,6.298,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](cosen <= -1.263 | s2_edrk >= -0.006)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](cosen >= -2.320 | lds >= 1.307)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,0](death >= 0.027 -> s24_edrk >= -0.002)
",0.635,-0.002,-0.281,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[1,1](ICU_Pt_Days <= 4.598 | s2_edrk >= -0.001)
",1.368,4.598,2.057,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,1](Pulse <= 92.708 | SBP >= 83.118)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[0,0](lds >= 0.874 | Pulse >= 81.042)
",0.327,11.424,5.966,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"G[1,1](direct <= 0.504 | SBP >= 72.179)
",0.871,82.688,41.062,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"((MET >= 0.007) U[0,0] (death = 0.091))
",-0.408,-0.007,0.136,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((CO2 > 26.000) U[0,1] (y = 0.489))
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[1,1](edrk > 12.646 & y = 0.485)
",1.155,-0.485,-0.502,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[0,0](Glasgow_Coma_Scale_Total < 14.969 & y = 0.090)
",1.155,-0.090,-0.559,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"G[0,1](edrk <= 31.764 | TOTAL_BILIRUBIN >= 0.700)
",0.000,9999999.000,9999999.000,1.000,0.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,1
"F[0,0](Resp > 15.754 & y = 0.898)
",0.056,-0.898,-0.965,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((lds <= 1.531) U[1,1] (y = 0.969))
",-0.116,0.152,0.242,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[0,1](dfa <= 1.030 & y = 0.696)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((SBP <= 153.450) U[0,0] (y = 0.429))
",-1.827,5.882,50.593,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((MET >= 0.025) U[0,0] (death = 0.091))
",-0.408,-0.025,0.118,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((s8_edrk > -0.003) U[1,1] (y = 0.282))
",0.207,0.003,0.002,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((ICU_Pt_Days >= 0.923) U[0,0] (y = 0.061))
",-1.037,-0.061,1.914,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[0,1](direct <= 0.602 & y = 0.744)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[0,1](n_edrk <= 0.913 & y = 0.379)
",0.000,-9999999.000,-9999999.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[1,1](MET >= 0.005 & y = 0.911)
",-1.155,-0.911,-0.441,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"F[0,0](GLUCOSE <= 119.000 -> y = 0.516)
",0.000,0.000,0.000,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"((MET >= 0.016) U[0,0] (death = 0.091))
",-0.408,-0.016,0.127,0.000,1.000,30,0,14,0,30,14,44,0,1.0,0.0,1.0,0.6818181818181818,0.6818181818181818,0.31818181818181823,-1
"G[1,1](cosen >= -2.240 | SBP <= 171.030)
",-1.002,18.561,61.073,1.000,0.000,29,0,14,1,30,14,43,1,0.9666666666666667,0.0,1.0,0.6744186046511628,0.6590909090909091,0.34090909090909094,1
"G[0,1](death >= 0.047 | Temp >= 35.415)
",0.000,9999999.000,9999999.000,1.000,0.000,29,0,14,1,30,14,43,1,0.9666666666666667,0.0,1.0,0.6744186046511628,0.6590909090909091,0.34090909090909094,1
"G[0,0](hr >= 87.883 | Temp >= 35.978)
",-0.157,5.309,8.092,1.000,0.000,29,0,14,1,30,14,43,1,0.9666666666666667,0.0,1.0,0.6744186046511628,0.6590909090909091,0.34090909090909094,1
"G[1,1](AF >= 0.000 -> s2_hr <= 0.003)
",0.404,-0.004,-0.074,1.000,0.000,28,0,14,2,30,14,42,2,0.9333333333333333,0.0,1.0,0.6666666666666666,0.6363636363636364,0.36363636363636365,1
"G[0,1](lds <= 1.489 & s24_hr <= 0.007)
",0.000,9999999.000,9999999.000,1.000,0.000,16,12,2,14,30,14,18,26,0.5333333333333333,0.8571428571428571,0.14285714285714285,0.8888888888888888,0.6363636363636364,0.36363636363636365,1
"G[0,0](hr >= 81.151 & Pulse >= 89.278)
",0.414,2.100,-5.278,1.000,0.000,16,12,2,14,30,14,18,26,0.5333333333333333,0.8571428571428571,0.14285714285714285,0.8888888888888888,0.6363636363636364,0.36363636363636365,1
"F[0,0](srr >= 0.029 -> y >= 0.190)
",1.283,-0.007,-0.496,0.000,1.000,19,9,5,11,30,14,24,20,0.6333333333333333,0.6428571428571429,0.35714285714285715,0.7916666666666666,0.6363636363636364,0.36363636363636365,-1
"((s8_edrk >= -0.000) U[1,2] (Temp <= 37.250))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,11,0,16,33,11,17,27,0.5151515151515151,1.0,0.0,1.0,0.6363636363636364,0.36363636363636365,-1
